VERBALE DL;DATA VERBALE DL;WBS;DESCRIZIONE E PARTE D'OPERA VERBALE DL;DDT;IMPIANTO;MIX - SOTTOMISSIONE;PROTOCOLLO RICHIESTA D.L.;DATA;PROTOCOLLO RICEZIONE D.L.;DATA;NUMERO CERTIFICATO;DATA CERTIFICATO;LABORATORIO;DATA PROVA;Rck;R1 [N/mmq];R2 [N/mmq];R medio;NOTE
CLS 5607;13/07/2023;ST11 ;Sottovia - Magrone Fondazione - KM(11+871,15);1474;_3_G_Jonica_scarl_Cassano_CS;PP01R15X0S4IF - 07-33/2022;CDG-0536099-U;20/07/2023;CDG-0683064-E;04/09/2023;621663;28/08/2023;SIDERCEM;10/08/2023;15;24;23,3;23,7;
CLS 5683;21/07/2023;ST11 ;Sottovia - Fondazione 1°Concio (Lato Monte) - KM(11+871,50);1589;_3_G_Jonica_scarl_Cassano_CS;PP01R40XC2S4IF - 07-36/2022;CDG-0631737-U;07/08/2023;CDG-0719478-E;18/09/2023;621962;12/09/2023;SIDERCEM;21/08/2023;40;56,5;49;52,8;
CLS 5684;21/07/2023;ST11 ;Sottovia - Fondazione 1°Concio (Lato Monte) - KM(11+871,50);1590;_3_G_Jonica_scarl_Cassano_CS;PP01R40XC2S4IF - 07-36/2022;CDG-0631737-U;07/08/2023;CDG-0719478-E;18/09/2023;621962;12/09/2023;SIDERCEM;21/08/2023;40;46,5;44,3;45,4;
CLS 5695;22/07/2023;ST11 ;Sottovia - Fondazione Concio 2  (Lato Mare) - KM(11+871,15);1603;_3_G_Jonica_scarl_Cassano_CS;PP01R40XC2S4IF - 07-36/2022;CDG-0631737-U;07/08/2023;CDG-0719478-E;18/09/2023;621962;12/09/2023;SIDERCEM;21/08/2023;40;54,2;48,2;51,2;
CLS 5764;31/07/2023;ST11 ;Sottovia - Getto Piedritto Concio N°1 - Lato Monte (TA) KM(10+238,00);1706;_3_G_Jonica_scarl_Cassano_CS;PP01R40XC2S4IF - 07-36/2022;CDG-0662898-U;24/08/2023;CDG-0735443-E;22/09/2023;622050;15/09/2023;SIDERCEM;30/08/2023;40;53,6;54,3;54;A CAUSA DI UN REFUSO, NEL CERTIFICATO E' STATA RIPORTATA UNA PROGRESSIVA KILOMETRICA ERRATA. LA PK CORRETTA E' 11+871.
CLS 5765;31/07/2023;ST11 ;Sottovia - Getto Piedritto Concio N°1 - Lato Monte (TA) KM(10+238,00);1707;_3_G_Jonica_scarl_Cassano_CS;PP01R40XC2S4IF - 07-36/2022;CDG-0662898-U;24/08/2023;CDG-0735443-E;22/09/2023;622050;15/09/2023;SIDERCEM;30/08/2023;40;52,2;52,7;52,5;A CAUSA DI UN REFUSO, NEL CERTIFICATO E' STATA RIPORTATA UNA PROGRESSIVA KILOMETRICA ERRATA. LA PK CORRETTA E' 11+871.
CLS 5808;02/08/2023;ST11 ;Sottovia - Piedritto Concio 2 (Lato Mare) Dir. TA - KM(11+871);1771;_3_G_Jonica_scarl_Cassano_CS;PP01R40XC2S4IF - 07-36/2022;CDG-0662898-U;24/08/2023;CDG-0735443-E;22/09/2023;622050;15/09/2023;SIDERCEM;30/08/2023;40;47,2;43,4;45,3;
CLS 5832;04/08/2023;ST11 ;Sottovia - Piedritto Concio 1 (Lato Monte) Dir. RC - KM(11+871);1821;_3_G_Jonica_scarl_Cassano_CS;PP01R40XC2S4IF - 07-36/2022;CDG-0662898-U;24/08/2023;CDG-0735443-E;22/09/2023;622050;15/09/2023;SIDERCEM;01/09/2023;40;50,4;56,8;53,6;
CLS 5859;09/08/2023;ST11 ;Sottovia - Piedritto Concio  (Lato Valle) Sud - KM(11+871,15);1864;_3_G_Jonica_scarl_Cassano_CS;PP01R40XC2S4IF - 07-36/2022;CDG-0662898-U;24/08/2023;CDG-0735443-E;22/09/2023;622050;15/09/2023;SIDERCEM;06/09/2023;40;58,2;54,3;56,3;
CLS 5860;09/08/2023;ST11 ;Sottovia - Piedritto Concio  (Lato Valle) Sud - KM(11+871,15);1865;_3_G_Jonica_scarl_Cassano_CS;PP01R40XC2S4IF - 07-36/2022;CDG-0662898-U;24/08/2023;CDG-0735443-E;22/09/2023;622050;15/09/2023;SIDERCEM;06/09/2023;40;54,8;49,9;52,4;
CLS 5861;09/08/2023;ST11 ;Sottovia - Piedritto Concio  (Lato Valle) Sud - KM(11+871,15);1866;_3_G_Jonica_scarl_Cassano_CS;PP01R40XC2S4IF - 07-36/2022;CDG-0662898-U;24/08/2023;CDG-0735443-E;22/09/2023;622050;15/09/2023;SIDERCEM;06/09/2023;40;48;53,1;50,6;
CLS 5953;31/08/2023;ST11 ;Sottovia - Soletta Del Concio - (Lato Monte) - KM(11+871,15);14/007963;Sinnica_Service_srl_Trebisacce_CS;C40S4D25XA2-1MX - 01-20/2022;CDG-0704210-U;11/09/2023;CDG-0782530-E;09/10/2023;622290;04/10/2023;SIDERCEM;28/09/2023;40;57,6;55,1;56,4;
CLS 5967;01/09/2023;ST11 ;Sottovia - Getto Soletta Concio (Lato Mare) - KM(11+871,15);14/008033;Sinnica_Service_srl_Trebisacce_CS;C40S4D25XA2-1MX - 01-20/2022;CDG-0704210-U;11/09/2023;CDG-0782530-E;09/10/2023;622290;04/10/2023;SIDERCEM;29/09/2023;40;50,1;51;50,6;
CLS 6497;31/10/2023;ST11;Sottovia - Getto Fondazione Muro D'Ala N°3;14/010898;Sinnica_Service_srl_Trebisacce_CS;C40S4D25XA2-1MX - 01-20/2022;CDG-0911983-U;20/11/2023;CDG-0952779-E;04/12/2023;623269;29/11/2023;SIDERCEM;28/11/2023;40;52,9;60,9;56,9;
CLS 6498;31/10/2023;ST11;Sottovia - Getto Fondazione Muro D'Ala N°1;14/010900;Sinnica_Service_srl_Trebisacce_CS;C40S4D25XA2-1MX - 01-20/2022;CDG-0911983-U;20/11/2023;CDG-0952779-E;04/12/2023;623269;29/11/2023;SIDERCEM;28/11/2023;40;61,3;63,2;62,3;
CLS 6521;02/11/2023;ST11;Sottovia - Getto Fondazione Muro D'Ala N°4 - Valle Lato RC - KM(11+871,15);14/010964;Sinnica_Service_srl_Trebisacce_CS;C40S4D25XA2-1MX - 01-20/2022;CDG-0922720-U;23/11/2023;CDG-0023678-E;11/01/2024;623752;18/12/2023;SIDERCEM;06/12/2023;40;54,3;49,7;52;
CLS 6566;07/11/2023;ST11;Sottovia - Getto Cordolo per Barriere - KM(11+871,15);14/011049;Sinnica_Service_srl_Trebisacce_CS;C40S4D25XA2-1MX - 01-20/2022;CDG-0922720-U;23/11/2023;CDG-0023678-E;11/01/2024;623752;18/12/2023;SIDERCEM;06/12/2023;40;60,2;52;56,1;
CLS 6777;07/12/2023;ST11;Sottovia - Muro D'Ala N°3 - Lato Monte - KM(11+871,15);14/011339;Sinnica_Service_srl_Trebisacce_CS;C40S4D25XA2-1MX - 01-20/2022;CDG-0999135-U;19/12/2023;CDG-0068049-E;26/01/2024;624146;23/01/2024;SIDERCEM;11/01/2024;40;54,9;59,5;57,2;
CLS 6849;15/12/2023;ST11;Sottovia - Fondazione Muro D'Ala 2 - KM(11+871);14/0011484;Sinnica_Service_srl_Trebisacce_CS;C40S4D25XA2-1MX - 01-20/2022;CDG-0016927-U;10/01/2024;CDG-0088211-E;02/02/2024;624282;29/01/2024;SIDERCEM;18/01/2024;40;59,6;67,8;63,7;
CLS 6988;08/01/2024;ST11;Sottovia - Muro D'Ala N°4 - Lato Mare - KM(11+871,50);14/000070;Sinnica_Service_srl_Trebisacce_CS;C40S4D25XA2-1MX - 01-20/2022;CDG-0042211-U;17/01/2024;CDG-0122060-E;13/02/2024;624696;08/02/2024;SIDERCEM;07/02/2024;40;69,2;70;69,6;
CLS 7106;18/01/2024;ST11;Sottovia - Muro D'Ala 1 (Lato Monte) - KM(11+871,5);14/000210;Sinnica_Service_srl_Trebisacce_CS;C40S4D25XA2-1MX - 01-20/2022;CDG-0097021-U;06/02/2024;CDG-0216277-E;14/03/2024;625014;04/03/2024;SIDERCEM;23/02/2024;40;56;65,9;61;
CLS 7223;26/01/2024;ST11;Sottovia 4,00x4,00 - Elevazione Muro D'Ala 2 - KM(11+871,15);14/000387;Sinnica_Service_srl_Trebisacce_CS;C40S4D25XA2-1MX - 01-20/2022;CDG-0144304-U;21/02/2024;CDG-0214845-E;13/03/2024;625158;08/03/2024;SIDERCEM;28/02/2024;40;52,8;57,3;55,1;
