" S.S. n. 106 ""Jonica"" ";;;;;;;;;;;;;;;;;;;
 Lavori di costruzione del 3° Megalotto dall'innesto con la S.S. 534 (km 365+150) a Roseto Capo Spulico (km 400+000) ;;;;;;;;;;;;;;;;;;;
TOMBINO SCATOLARE (TS11) pk 5+095,94;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
PRELIEVO CAMPIONE;;;;PARTE DI OPERA;;LABORATORIO;"RISULTATI DELLE PROVE                                                                            fy [N/mm2]; Agt [%]; F = Favorevole ";;;;;;Controlli di accettazione (Tab. 11.3.VI);;;;;;
Verbale;Data;Ø;Marchio del Produttore;Ubicazione;Denominazione;;Certificato;Data fine prove;fy;Agt;ft/fy;Piega;Esito controllo fy;Esito controllo Agt;Esito controllo ft/fy;Esito            piega;;;
AC1-;;;;;;;;;;;;;Negativo;Negativo;Negativo;Negativo;;;
;;;;;;;;;;;;;Negativo;Negativo;Negativo;Negativo;;;
;;;;;;;;;;;;;Negativo;Negativo;Negativo;Negativo;;;
;;;;;;;;;;;;;Negativo;Negativo;Negativo;Negativo;;;
;;;;;;;;;;;;;Negativo;Negativo;Negativo;Negativo;;;
;;;;;;;;;;;;;Negativo;Negativo;Negativo;Negativo;;;
;;;;;;;;;;;;;Negativo;Negativo;Negativo;Negativo;;;
;;;;;;;;;;;;;Negativo;Negativo;Negativo;Negativo;;;
;;;;;;;;;;;;;Negativo;Negativo;Negativo;Negativo;;;
;;;;;;;;;;;;;Negativo;Negativo;Negativo;Negativo;;;
;;;;;;;;;;;;;Negativo;Negativo;Negativo;Negativo;;;
;;;;;;;;;;;;;Negativo;Negativo;Negativo;Negativo;;;
;;;;;;;;;;;;;Negativo;Negativo;Negativo;Negativo;;;
;;;;;;;;;;;;;Negativo;Negativo;Negativo;Negativo;;;
;;;;;;;;;;;;;Negativo;Negativo;Negativo;Negativo;;;
;;;;;;;;;;;;;Negativo;Negativo;Negativo;Negativo;;;
;;;;;;;;;;;;;Negativo;Negativo;Negativo;Negativo;;;
;;;;;;;;;;;;;Negativo;Negativo;Negativo;Negativo;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;IL DIRETTORE LAVORI;;;;;
;;;;;;;;;;;;;;Ing. Biagio MARRA;;;;;
